ID,Bug_ID,Classification,Title,Bug Description,Status Code,Priority,Severity,AI Solution,,,
42,3,Runtime/Logic Error,Incorrect User Role Assignment,Users receive unintended permissions.,403,High,High,Validate role assignment logic.,,,
43,3,Runtime/Logic Error,Privilege Escalation Through Improper Authorization,Users can access higher-privilege functionality.,403,Critical,Critical,Enforce authorization checks on sensitive actions.,,,
44,3,Runtime/Logic Error,JWT Claims Not Properly Validated,Claims are trusted without verification.,400,High,High,Validate all required JWT claims.,,,
45,3,Runtime/Logic Error,Sensitive Data Stored in JWT Payload,Confidential information is embedded in JWT tokens.,400,High,High,Store only minimal non-sensitive claims.,,,
46,3,Runtime/Logic Error,Missing HTTPS Enforcement for Token Transmission,Tokens may be transmitted over insecure channels.,400,Critical,Critical,Enforce HTTPS for all authenticated requests.,,,
47,3,Runtime/Logic Error,Authentication Middleware Not Registered,Authentication middleware is missing from configuration.,400,High,High,Register the required middleware.,,,
48,3,Runtime/Logic Error,CSRF Protection Disabled for Authenticated Endpoints,Authenticated endpoints lack CSRF safeguards.,400,Medium,Medium,Enable CSRF protection where applicable.,,,
49,3,Runtime/Logic Error,Insecure Password Storage Configuration,Passwords may not be hashed securely.,400,Critical,Critical,Use strong password hashing algorithms.,,,
50,3,Runtime/Logic Error,User Enumeration Through Login Endpoint,Login responses reveal valid usernames.,400,Medium,Medium,Return generic authentication error messages.,,,
51,3,Runtime/Logic Error,Brute Force Protection Missing on Authentication API,Repeated login attempts are not restricted.,400,High,High,Add throttling and account lockout measures.,,,
52,3,Runtime/Logic Error,Authentication Error Returns Sensitive Information,Error messages expose internal details.,400,Medium,Medium,Sanitize authentication error responses.,,,
53,3,Runtime/Logic Error,Unhandled Token Blacklist Lookup Failure,Blacklist lookup errors crash authentication flow.,500,Medium,Medium,Handle blacklist lookup failures safely.,,,
54,3,Runtime/Logic Error,Invalid User Object Returned During Authentication,Authentication process returns incorrect user instances.,401,High,High,Validate user retrieval logic.,,,
55,3,Runtime/Logic Error,Custom JWT Serializer Missing Required Claims,Generated tokens omit required claims.,400,Medium,Medium,Include all mandatory claims in serializers.,,,
56,3,Runtime/Logic Error,Token Generation Fails for Inactive Users,Inactive users trigger token generation errors.,400,Low,Low,Handle inactive accounts explicitly.,,,
57,3,Runtime/Logic Error,JWT Refresh Endpoint Accepts Invalid Tokens,Malformed refresh tokens are accepted.,401,Critical,Critical,Validate token integrity before refresh.,,,
58,3,Runtime/Logic Error,Duplicate User Registration Due to Missing Validation,Duplicate accounts can be created.,400,Medium,Medium,Add uniqueness validation checks.,,,
59,3,Runtime/Logic Error,Password Reset Token Expiration Not Enforced,Expired password reset tokens remain usable.,401,High,High,Verify expiration before accepting reset tokens.,,,
60,3,Runtime/Logic Error,Incorrect JWT Algorithm Configuration,Application uses an unexpected signing algorithm.,400,High,High,Configure and enforce approved algorithms.,,,
61,3,Runtime/Logic Error,Hardcoded Database Credentials in Python Settings,Database credentials are embedded in code.,400,Critical,Critical,Move credentials to secure configuration.,,,
62,3,Runtime/Logic Error,Environment Variables Not Loaded Properly,Required environment variables are unavailable.,400,Medium,Medium,Verify environment loading configuration.,,,
63,3,Runtime/Logic Error,Missing Exception Handling in API View,Unhandled exceptions result in server errors.,500,Medium,Medium,Add structured exception handling.,,,
64,3,Runtime/Logic Error,Database Connection Leak in Django Application,Connections are not released properly.,500,High,High,Ensure connections are closed after use.,,,
65,3,Runtime/Logic Error,Circular Import Causing Application Startup Failure,Circular dependencies prevent startup.,500,Medium,Medium,Refactor imports to remove dependency cycles.,,,
66,3,Runtime/Logic Error,Unvalidated User Input Leading to Server Error,Input is processed without validation.,500,High,High,Validate and sanitize all user input.,,,
67,3,Runtime/Logic Error,API Endpoint Missing Authentication Requirement,Public access is allowed unintentionally.,403,Critical,Critical,Require authentication for protected endpoints.,,,
68,3,Runtime/Logic Error,Incorrect Serializer Field Validation,Serializer validation rules are incomplete.,400,Medium,Medium,Define proper validation constraints.,,,
69,3,Runtime/Logic Error,Race Condition During User Account Creation,Concurrent requests create inconsistent user data.,400,High,High,Use transactions and uniqueness constraints.,,,
70,3,Runtime/Logic Error,Missing Logging for Authentication Failures,Authentication failures are not logged.,400,Low,Low,Implement structured security logging.,,,
71,4,Configuration Error,DEBUG Mode Enabled in Production,Django DEBUG=True set in production exposing detailed error pages with source code.,500,Critical,Critical,Set DEBUG=False in production settings. Use environment variable to control DEBUG setting.,,,
72,4,Configuration Error,ALLOWED_HOSTS Not Configured in Production,ALLOWED_HOSTS set to wildcard in production allowing HTTP Host header attacks.,400,High,High,Set ALLOWED_HOSTS to explicit list of production domains. Never use wildcard in production.,,,
73,4,Configuration Error,CORS Not Configured for API Endpoints,CORS_ALLOWED_ORIGINS not set causing frontend API calls to fail with CORS policy errors.,400,Medium,High,Install django-cors-headers. Set CORS_ALLOWED_ORIGINS to list of frontend domains.,,,
74,4,Configuration Error,Static Files Not Collected in Production,Static files return 404 in production because collectstatic was not run during deployment.,404,Medium,Medium,Run python manage.py collectstatic during deployment pipeline. Configure STATIC_ROOT correctly.,,,
75,4,Configuration Error,Database Connection Pool Not Configured,Django creating a new database connection for each request causing connection exhaustion under load.,500,High,High,Configure CONN_MAX_AGE in DATABASE settings. Use PgBouncer for connection pooling.,,,
76,4,Configuration Error,Celery Broker URL Using Default Redis Database,Celery using default Redis database 0 shared with other services causing task interference.,500,Medium,Medium,Set a dedicated Redis database number in CELERY_BROKER_URL.,,,
77,4,Configuration Error,Missing SECRET_KEY Rotation After Exposure,Django SECRET_KEY unchanged after being accidentally committed to version control.,200,Critical,Critical,Immediately rotate SECRET_KEY. Set SECRET_KEY from environment variable. Scan git history.,,,
78,4,Configuration Error,Email Backend Set to Console in Production,EMAIL_BACKEND set to console backend in production causing emails to not be sent.,200,High,High,Set EMAIL_BACKEND to smtp or third-party provider backend in production.,,,
79,4,Configuration Error,Missing HTTPS Redirect Middleware,Application serves responses over HTTP in production without redirecting to HTTPS.,200,Critical,Critical,Add SECURE_SSL_REDIRECT=True in production settings. Add SecurityMiddleware to MIDDLEWARE.,,,
80,4,Configuration Error,Incorrect Time Zone Setting,Django TIME_ZONE set to UTC but business logic assumes local timezone causing scheduling errors.,200,Medium,Medium,Set TIME_ZONE to correct business timezone. Enable USE_TZ=True for timezone-aware datetimes.,,,
81,4,Configuration Error,Cache Backend Not Configured,Django using dummy cache backend in production causing performance issues.,200,High,High,Configure CACHES to use Redis or Memcached in production.,,,
82,4,Configuration Error,Missing Database Index on Frequently Queried Field,Foreign key field used in frequent filter queries has no database index causing full table scans.,200,High,High,Add db_index=True to frequently queried fields. Create migration to add index.,,,
83,4,Configuration Error,Logging Not Configured for Production,Django logging uses default configuration causing important errors to be silently discarded.,500,Medium,High,Configure LOGGING in settings with appropriate handlers for production.,,,
84,4,Configuration Error,Media Files Served by Django in Production,Django configured to serve MEDIA_FILES directly in production causing performance bottleneck.,200,Medium,Medium,Serve media files via nginx S3 or CDN in production. Configure MEDIA_URL to external storage URL.,,,
85,4,Configuration Error,Session Engine Using Database Without Cleanup,SESSION_ENGINE set to database sessions but expired sessions never cleaned up causing table bloat.,200,Low,Medium,Run clearsessions periodically via cron or Celery beat.,,,
86,4,Configuration Error,Missing CSRF Cookie Settings for SPA,CSRF_COOKIE_HTTPONLY=True prevents JavaScript from reading CSRF token breaking SPA authentication.,403,High,High,Set CSRF_COOKIE_HTTPONLY=False for SPA applications that need to read CSRF token via JavaScript.,,,
87,4,Configuration Error,Gunicorn Worker Count Not Optimized,Gunicorn running with only 1 worker in production causing requests to queue under load.,503,High,High,Set workers=(2*CPU_COUNT)+1 as per Gunicorn docs. Configure via environment variable.,,,
88,4,Configuration Error,Redis Connection Not Using SSL in Production,Redis connection in production uses unencrypted connection exposing data in transit.,200,High,High,Use rediss:// scheme in Redis URL for SSL connections.,,,
89,4,Configuration Error,Incorrect WSGI Application Path,WSGI_APPLICATION setting points to incorrect module path causing ImportError on application start.,500,High,High,Verify WSGI_APPLICATION matches actual wsgi.py location.,,,
90,4,Configuration Error,Missing Health Check Endpoint Configuration,Load balancer health checks return 404 because health check endpoint not configured.,404,Medium,Medium,Add health check endpoint to urls.py. Return 200 with simple JSON response.,,,
91,4,Configuration Error,MAX_UPLOAD_SIZE Not Configured,Django has no upload size limit configured allowing denial of service through large file uploads.,400,High,High,Set DATA_UPLOAD_MAX_MEMORY_SIZE and FILE_UPLOAD_MAX_MEMORY_SIZE in settings.,,,
92,4,Configuration Error,Template Caching Disabled in Production,Django template loaders not configured for caching causing repeated disk reads.,200,Medium,Medium,Use cached.Loader in TEMPLATES settings for production.,,,
93,4,Configuration Error,Missing X-Frame-Options Header,X_FRAME_OPTIONS not configured making site vulnerable to clickjacking attacks.,200,High,High,Set X_FRAME_OPTIONS=DENY in settings. Add XFrameOptionsMiddleware to MIDDLEWARE.,,,
94,4,Configuration Error,Misconfigured Proxy Headers Trust,SECURE_PROXY_SSL_HEADER not configured correctly when behind load balancer.,200,Medium,Medium,"Set SECURE_PROXY_SSL_HEADER=('HTTP_X_FORWARDED_PROTO','https') when behind SSL-terminating proxy.",,,
95,4,Configuration Error,Worker Timeout Too Short for Long Operations,Gunicorn worker timeout set to 30s causes long-running operations to be killed mid-execution.,503,Medium,High,Increase timeout for workers handling long operations. Move long tasks to Celery.,,,
96,4,Configuration Error,Missing Sentry or Error Tracking Configuration,Application has no error tracking configured in production causing errors to go unnoticed.,500,Medium,High,Integrate Sentry SDK. Set SENTRY_DSN from environment variable.,,,
97,4,Configuration Error,Django Admin Not Secured on Custom URL,Django admin accessible at default /admin/ URL making it easy target for automated attacks.,200,High,High,Change admin URL to non-default path. Add IP restriction middleware for admin access.,,,
98,4,Configuration Error,Missing Content Security Policy Header,CSP header not configured allowing any external scripts to load on the page.,200,High,High,Configure CSP header using django-csp library. Start with report-only mode.,,,
99,4,Configuration Error,Session Cookie Domain Not Set,SESSION_COOKIE_DOMAIN not configured for subdomain access causing session not to persist.,200,Medium,Medium,Set SESSION_COOKIE_DOMAIN='.yourdomain.com' to share session across subdomains.,,,
100,4,Configuration Error,Missing Database SSL Configuration,Database connection in production does not use SSL transmitting data in plaintext.,200,Critical,Critical,Add OPTIONS: sslmode: require to DATABASE configuration.,,,
101,4,Configuration Error,Incorrectly Configured URL Patterns Causing 404,URL patterns have trailing slash mismatch causing requests to return 404.,404,Low,Medium,Enable APPEND_SLASH=True in settings. Use consistent URL patterns.,,,
102,4,Configuration Error,Missing Pagination Configuration in DRF,DEFAULT_PAGINATION_CLASS not set causing all list endpoints to return unbounded results.,200,High,High,Set DEFAULT_PAGINATION_CLASS and PAGE_SIZE in REST_FRAMEWORK settings.,,,
103,4,Configuration Error,Internationalization Settings Misconfigured,LANGUAGE_CODE and LOCALE_PATHS not configured correctly causing translations to not load.,200,Low,Low,Set LANGUAGE_CODE to target language. Add locale directory to LOCALE_PATHS.,,,
104,4,Configuration Error,Missing Rate Limiting Configuration,No throttling classes configured in DEFAULT_THROTTLE_CLASSES leaving API open to abuse.,400,High,High,Configure DEFAULT_THROTTLE_CLASSES and DEFAULT_THROTTLE_RATES in REST_FRAMEWORK settings.,,,
105,4,Configuration Error,Test Runner Not Excluded from Production,Django test database created in production due to incorrect settings inheritance.,500,Medium,High,Keep test settings separate from production. Never run tests against production database.,,,
106,4,Configuration Error,Missing Backup Configuration,Database backups not configured risking complete data loss on hardware failure.,500,Critical,Critical,Configure automated database backups. Store backups in separate location. Test restore procedure.,,,
107,4,Configuration Error,Incorrect File Permission on Settings File,settings.py file has world-readable permissions exposing secrets to other system users.,200,Critical,Critical,Set file permissions to 600 on settings files. Move secrets to environment variables.,,,
108,4,Configuration Error,Missing Robots.txt Configuration,No robots.txt configured allowing search engines to index API and admin pages.,200,Low,Low,Create robots.txt disallowing indexing of /api/ /admin/ and other non-public endpoints.,,,
109,4,Configuration Error,Incorrect Celery Task Queue Configuration,Celery tasks routed to wrong queue due to misconfigured CELERY_TASK_ROUTES.,500,Medium,High,Define explicit CELERY_TASK_ROUTES mapping task names to queues.,,,
110,4,Configuration Error,Missing SSL Certificate Renewal Configuration,SSL certificate expiry not monitored or auto-renewed causing unexpected HTTPS outage.,503,Critical,Critical,Configure auto-renewal with Let's Encrypt certbot. Set up monitoring for certificate expiry.,,,
111,4,Configuration Error,Default Django Secret Key Used in Repository,Default or example SECRET_KEY from Django template used in production.,200,Critical,Critical,Generate new SECRET_KEY. Never use default keys. Load from environment variable.,,,
112,4,Configuration Error,Missing Middleware Order Configuration,SecurityMiddleware not first in MIDDLEWARE list causing security headers to not be applied.,200,High,High,Place SecurityMiddleware as first item in MIDDLEWARE list.,,,
113,4,Configuration Error,Connection Timeout Not Configured for External Services,HTTP connections to external services have no timeout configured causing requests to hang.,503,Medium,High,"Set timeout parameter on all requests calls. Use (connect_timeout, read_timeout) tuple.",,,
114,4,Configuration Error,Missing Migrations in Deployment,Database schema changes deployed without running migrations causing IntegrityError.,500,High,High,Add python manage.py migrate to deployment pipeline before starting application.,,,
115,4,Configuration Error,Incorrect Timezone in Scheduled Tasks,Celery beat tasks scheduled with naive datetimes causing incorrect execution after DST changes.,500,Medium,Medium,Use timezone-aware datetimes in Celery beat schedule. Set CELERY_TIMEZONE in settings.,,,
116,4,Configuration Error,Missing Environment-Specific Settings Override,Production deployment loads development settings enabling DEBUG mode.,500,Critical,Critical,Use DJANGO_SETTINGS_MODULE environment variable to specify correct settings file.,,,
117,4,Configuration Error,Incorrect MEDIA_ROOT Configuration,MEDIA_ROOT points to non-existent or web-inaccessible directory causing media upload failures.,400,Medium,Medium,Verify MEDIA_ROOT directory exists and is writable by application user.,,,
118,4,Configuration Error,Missing Database Read Replica Configuration,All queries hitting primary database causing read performance issues.,500,Medium,High,Configure DATABASE_ROUTERS to route read queries to replica.,,,
119,4,Configuration Error,API Versioning Not Configured in URL Patterns,API lacks versioning making backward-incompatible changes break existing clients.,400,Medium,Medium,Add API version prefix to URL patterns (/api/v1/). Configure DEFAULT_VERSION in DRF settings.,,,
120,4,Configuration Error,Missing Static File Compression Configuration,Static files served without compression increasing page load times and bandwidth usage.,200,Low,Medium,Configure WhiteNoise with compression settings. Or use nginx gzip compression.,,,
121,5,Database Error,PostgreSQL Max Connections Exceeded,Application exhausts PostgreSQL max_connections limit causing new connections to fail.,500,Critical,Critical,Use PgBouncer connection pooler. Configure CONN_MAX_AGE. Monitor connection count with pg_stat_activity.,,,
122,5,Database Error,N+1 Query Problem in Serializer,Serializer accessing related objects in loop generates N+1 database queries.,200,High,High,Use select_related() for ForeignKey. Use prefetch_related() for ManyToMany. Profile with django-debug-toolbar.,,,
123,5,Database Error,Database Migration Fails Due to Existing Data,Migration adding NOT NULL column fails on table with existing rows.,500,High,High,Add default value or null=True when adding columns to tables with existing data.,,,
124,5,Database Error,Deadlock Detected in Concurrent Update Operations,Concurrent requests updating same rows in different order cause database deadlock.,500,High,High,Order database operations consistently. Use SELECT FOR UPDATE with NOWAIT. Implement retry logic.,,,
125,5,Database Error,Database Query Timeout in Complex Report,Complex aggregation query times out after 30 seconds.,503,High,High,Add statement_timeout. Move complex reports to async Celery tasks. Create materialized views.,,,
126,5,Database Error,Unicode Characters Cause Database Encoding Error,Emoji and special Unicode characters in user input cause encoding error when storing.,500,Medium,High,Ensure PostgreSQL database uses UTF8 encoding. Set client_encoding=UTF8 in connection settings.,,,
127,5,Database Error,Missing Foreign Key Index Causing Slow Joins,Frequently joined table missing foreign key index causes sequential scans on every join.,200,High,High,Add db_index=True to ForeignKey fields used in joins. Run EXPLAIN ANALYZE on slow queries.,,,
128,5,Database Error,Transaction Not Atomic Causing Partial Data Insert,Multi-step database operation not wrapped in transaction causing partial data insertion.,500,High,Critical,Wrap related database operations in @transaction.atomic decorator.,,,
129,5,Database Error,Database Backup Restore Fails Due to Schema Mismatch,Restoring backup to new environment fails because migration history does not match.,500,High,High,Use pg_dump with portable flags. Test restore procedure in staging environment regularly.,,,
130,5,Database Error,Query Using LIKE with Leading Wildcard Not Using Index,Search query using LIKE '%keyword%' pattern cannot use standard btree index.,200,Medium,High,Use PostgreSQL full-text search SearchVector and SearchQuery. Or use trigram index.,,,
131,5,Database Error,Django ORM Silently Truncating String Data,CharField with max_length silently truncates input in MySQL causing data loss.,200,High,High,Enable strict mode in MySQL. Add explicit length validation in serializer.,,,
132,5,Database Error,Database Connection Drops Under High Load,PostgreSQL connections dropped intermittently under load due to TCP keepalive not configured.,500,Medium,High,Set TCP keepalive options in DATABASE OPTIONS. Configure PostgreSQL tcp_keepalives_idle.,,,
133,5,Database Error,Slow Query Due to Missing Composite Index,Query filtering on two columns separately not using available single-column indexes.,200,Medium,Medium,Create composite index covering both filter columns. Use Index Meta option in Django model.,,,
134,5,Database Error,Cascade Delete Removes Unintended Related Records,ForeignKey with on_delete=CASCADE deletes related records unintentionally.,500,High,Critical,Review on_delete behavior for all ForeignKey fields. Use PROTECT to prevent unintended deletion.,,,
135,5,Database Error,Database Timezone Mismatch Causing Wrong Timestamps,PostgreSQL server timezone differs from Django TIME_ZONE causing timestamp errors.,200,Medium,High,Set PostgreSQL timezone to UTC. Use Django timezone-aware datetime handling.,,,
136,5,Database Error,Row-Level Lock Timeout Causing Request Failure,SELECT FOR UPDATE on busy row causes lock wait timeout returning 500.,500,Medium,High,Set lock_timeout in Django database settings. Implement retry logic for lock timeouts.,,,
137,5,Database Error,Missing Database Constraint Allowing Duplicate Records,Unique constraint not added at database level relying only on application-level validation.,200,High,High,Add unique_together or UniqueConstraint in model Meta. Handle IntegrityError in view.,,,
138,5,Database Error,Full Table Scan on Large Table Causing Timeout,Admin query against table with millions of rows performing full table scan.,500,High,High,Add index to filter fields on large tables. Use cursor pagination instead of offset.,,,
139,5,Database Error,Database Schema Drift Between Environments,Production database schema differs from development due to manually applied changes.,500,High,High,Never make manual schema changes. Use Django migrations exclusively.,,,
140,5,Database Error,Bulk Insert Causing Memory Error,Bulk create with large queryset loaded entirely into memory causes OOM error.,500,High,High,Use bulk_create with batch_size parameter. Process bulk operations in chunks.,,,
141,5,Database Error,Raw SQL Query Missing Parameter Binding,Raw SQL query uses Python string formatting instead of parameterized queries enabling SQL injection.,400,Critical,Critical,"Use cursor.execute(sql, params) with parameterized queries. Never use string formatting in raw SQL.",,,
142,5,Database Error,Database User Has Excessive Privileges,Application database user has superuser privileges creating significant security risk.,200,Critical,Critical,Create dedicated database user with minimal required privileges.,,,
143,5,Database Error,Inefficient Queryset Evaluation in Template,Queryset passed to template is evaluated multiple times.,200,Medium,Medium,Evaluate queryset once and pass list to template. Use list() on queryset to force evaluation.,,,
144,5,Database Error,Missing Soft Delete Implementation,Hard deletes remove records permanently causing foreign key errors and loss of audit trail.,500,Medium,High,Implement soft delete with is_deleted flag and deleted_at timestamp.,,,
145,5,Database Error,Database Connection String Contains Password in Logs,Database URL with embedded password logged in application startup logs.,200,Critical,Critical,Never log DATABASE_URL or connection strings. Mask password in log output.,,,
146,5,Database Error,Missing Read-After-Write Consistency,User creates record then immediately queries it but replica returns stale data.,200,Medium,High,Route writes and immediate reads to primary database.,,,
147,5,Database Error,Integer Primary Key Approaching Maximum Value,Auto-increment integer primary key approaching maximum value for high-volume table.,500,Critical,Critical,Migrate to BigAutoField. Check current max ID value. Plan migration before running out of IDs.,,,
148,5,Database Error,Queryset Filter Using Python Instead of Database,Filtering performed by loading all records into Python and filtering in memory.,200,High,High,Always filter using queryset methods which generate SQL WHERE clauses.,,,
149,5,Database Error,Missing Database Vacuum on Large Delete Operations,Frequent large deletes causing table bloat due to PostgreSQL MVCC not reclaiming space.,200,Medium,Medium,Run VACUUM ANALYZE on tables with frequent deletes. Configure autovacuum thresholds.,,,
150,5,Database Error,Incorrect Use of .save() in Loop Causing N+1 Writes,Updating records in loop with .save() causes N individual UPDATE queries.,200,Medium,High,Use bulk_update() for multiple record updates. Or use update() on queryset.,,,
151,5,Database Error,Missing Database Replication Lag Monitoring,Application does not monitor replication lag causing stale reads during high write load.,200,Medium,High,Monitor replication lag metric. Implement lag-aware routing.,,,
